dimensions,algorithm,cycles,stalled-cycles-frontend,stalled-cycles-backend,instructions,L1-dcache-load-misses,L1-dcache-loads-misses(% of all L1-dcache hits),frontend cycles idle(%),backend cycles idle(%),branch-misses(%  of all branches)
0,0,77917696340,46249511597,117071759,77896870884,10273142768,26.19,59.36,0.15,0.05
1,0,14832091730,1259489201,55552661,38919726435,5137728896,26.60,8.49,0.37,0.10
2,0,7451816950,571977402,24824828,19683661628,2247251830,28.77,7.68,0.33,0.06
0,1,5805643720,8420726,3134511871,17830054184,2316841740,8.24,0.15,53.99,0.20
1,1,1974496167,6448558,647705581,8895225750,1143437925,8.22,0.33,32.80,0.20
2,1,1011721040,4298790,307239518,4617727472,603091477,7.59,0.42,30.37,0.37
0,64,20630245301,123054705,2927530979,79003787678,8878567895,2.76,0.60,14.19,0.03
1,64,10320708433,68044808,1471021306,39517348777,4452029540,2.74,0.66,14.25,0.03
2,64,5262322303,32701410,727115750,19846712224,2242700058,2.70,0.62,13.82,0.03
0,128,21792309896,147758982,2264396091,78244844769,8779564378,2.62,0.68,10.39,0.77
1,128,10832653911,66326820,1164433744,39110803112,4375852027,2.62,0.61,10.75,0.78
2,128,5474131494,35818248,589523762,19595864076,2215988502,2.58,0.65,10.77,0.77
0,256,20965965883,168149488,2572056173,78057185838,8760558990,2.11,0.80,12.27,0.39
1,256,10504456821,98306446,1291416050,39001331532,4368716633,2.11,0.94,12.29,0.39
2,256,5367974518,56661531,640985712,19707272306,2219898213,2.08,1.06,11.94,0.39
0,512,21000296452,267282873,2623691097,77918106808,8747183726,1.85,1.27,12.49,0.20
1,512,10492101329,148849589,1300109335,38918043788,4356069516,1.86,1.42,12.39,0.20
2,512,5332360502,66110814,631164353,19489820785,2188354304,1.85,1.24,11.84,0.20